protein	SNP	label	

http://openlifedata.org/uniprot:Q8IZC6	http://lsrn.org/dbSNP:rs7048607	"Prediction of the coding sequences of unidentified human genes. XX. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:11347906]"@en	

http://openlifedata.org/uniprot:Q8IZC6	http://lsrn.org/dbSNP:rs2567706	"Prediction of the coding sequences of unidentified human genes. XX. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:11347906]"@en	

http://openlifedata.org/uniprot:Q8IZC6	http://lsrn.org/dbSNP:rs2241671	"Prediction of the coding sequences of unidentified human genes. XX. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:11347906]"@en	

http://openlifedata.org/uniprot:Q8IZC6	http://lsrn.org/dbSNP:rs3736252	"Prediction of the coding sequences of unidentified human genes. XX. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:11347906]"@en	

http://openlifedata.org/uniprot:Q8IZC6	http://lsrn.org/dbSNP:rs10982134	"Prediction of the coding sequences of unidentified human genes. XX. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:11347906]"@en	

http://openlifedata.org/uniprot:Q8IZC6	http://lsrn.org/dbSNP:rs2567707	"Prediction of the coding sequences of unidentified human genes. XX. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:11347906]"@en	

http://openlifedata.org/uniprot:Q8IZC6	http://lsrn.org/dbSNP:rs2567705	"Prediction of the coding sequences of unidentified human genes. XX. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:11347906]"@en	

http://openlifedata.org/uniprot:Q8IZC6	http://lsrn.org/dbSNP:rs2808770	"Prediction of the coding sequences of unidentified human genes. XX. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:11347906]"@en	

http://openlifedata.org/uniprot:Q96T58	http://lsrn.org/dbSNP:rs848209	"Prediction of the coding sequences of unidentified human genes. XIII. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10231032]"@en	

http://openlifedata.org/uniprot:Q96T58	http://lsrn.org/dbSNP:rs9725423	"Prediction of the coding sequences of unidentified human genes. XIII. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10231032]"@en	

http://openlifedata.org/uniprot:Q96T58	http://lsrn.org/dbSNP:rs848210	"Prediction of the coding sequences of unidentified human genes. XIII. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10231032]"@en	

http://openlifedata.org/uniprot:Q96T58	http://lsrn.org/dbSNP:rs848208	"Prediction of the coding sequences of unidentified human genes. XIII. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10231032]"@en	

http://openlifedata.org/uniprot:P25054	http://lsrn.org/dbSNP:rs2229996	"Identification of a brain-specific APC homologue, APCL, and its interaction with beta-catenin. [pubmed:9823329]"@en	

http://openlifedata.org/uniprot:P25054	http://lsrn.org/dbSNP:rs459552	"Identification of a brain-specific APC homologue, APCL, and its interaction with beta-catenin. [pubmed:9823329]"@en	

http://openlifedata.org/uniprot:P25054	http://lsrn.org/dbSNP:rs4987109	"Identification of a brain-specific APC homologue, APCL, and its interaction with beta-catenin. [pubmed:9823329]"@en	

http://openlifedata.org/uniprot:Q09472	http://lsrn.org/dbSNP:rs20551	"Synergistic signaling in fetal brain by STAT3-Smad1 complex bridged by p300. [pubmed:10205054]"@en	

http://openlifedata.org/uniprot:Q09472	http://lsrn.org/dbSNP:rs7285319	"Synergistic signaling in fetal brain by STAT3-Smad1 complex bridged by p300. [pubmed:10205054]"@en	

http://openlifedata.org/uniprot:Q09472	http://lsrn.org/dbSNP:rs1046088	"Synergistic signaling in fetal brain by STAT3-Smad1 complex bridged by p300. [pubmed:10205054]"@en	

http://openlifedata.org/uniprot:Q92538	http://lsrn.org/dbSNP:rs11191274	"Prediction of the coding sequences of unidentified human genes. VI. The coding sequences of 80 new genes (KIAA0201-KIAA0280) deduced by analysis of cDNA clones from cell line KG-1 and brain. [pubmed:9039502]"@en	

http://openlifedata.org/uniprot:Q92538	http://lsrn.org/dbSNP:rs4363527	"Prediction of the coding sequences of unidentified human genes. VI. The coding sequences of 80 new genes (KIAA0201-KIAA0280) deduced by analysis of cDNA clones from cell line KG-1 and brain. [pubmed:9039502]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs1799944	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

